url,imdb_id,language,title,genre,certificate,runtime_minutes,summary,imdb_rating,votes,director,stars,year
https://www.imdb.com/title/tt33503920/,tt33503920,Gujarati,Hu Tara Vina Kai Nai,Romance,,125,"Hu Tara Vina Kai Nai"" revolves around a newly married couple, Parth and Priya. Eager to start their life together, they soon find themselves struggling to live under the same roof just one year into their marriage. As frustrations...",9.3,16,Dhruval Sodagar,"Umesh Barot, Rubina Belim, Kuldeep Mishra",2024
https://www.imdb.com/title/tt7255568/,tt7255568,Hindi,Student of The Year 2,"Action, Comedy, Drama",Not Rated,146,"A student must face off against bullies and overcome hurdles, both academic and romantic, to win his college's coveted Student of the Year trophy.",2.2,23778,Punit Malhotra,"Tiger Shroff, Ananya Panday, Tara Sutaria",2019
https://www.imdb.com/title/tt28258888/,tt28258888,Telugu,Matka,"Action, Crime, Drama",,156,"Rising through the ranks of the criminal world, a man becomes a key player in a massive nationwide gambling operation.",4.7,891,Karuna Kumar,"Varun Tej, Meenaakshi Chaudhary, Nora Fatehi",2024
https://www.imdb.com/title/tt1857670/,tt1857670,Tamil,Deiva Thirumagal,"Drama, Family, Musical",Not Rated,166,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",8.2,7122,"N Kumar, A.L. Vijay","Vikram, Anushka Shetty, Amala Paul",2011
https://www.imdb.com/title/tt1392190/,tt1392190,"English, Russian",Mad Max: Fury Road,"Action, Adventure, Sci-Fi",R,120,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",8.1,1194440,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",2015
https://www.imdb.com/title/tt7117870/,tt7117870,Malayalam,Love Action Drama,"Comedy, Romance",,146,A man goes through all kinds of action to impress the girl he is in love with a hope to marry her.,5.2,1988,Dhyan Sreenivasan,"Nivin Pauly, Nayanthara, Aju Varghese",2019
https://www.imdb.com/title/tt26902870/,tt26902870,Hindi,Vakra Prem,Drama,,68,,9.9,11,Shantanu Joshi,"Akshat, Manali, Rahul",
https://www.imdb.com/title/tt1414534/,tt1414534,Kannada,Manninamaga,,,,,9.2,22,Geethapriya,"Kalpana, Rajkumar, Ramachandra Sastry H.R.",
https://www.imdb.com/title/tt0110076/,tt0110076,Hindi,Hum Aapke Hain Koun..!,"Comedy, Drama, Musical",TV-14,206,"Prem and Nisha meet and fall in love at the wedding of their elder siblings, but their plans to be together are put in jeopardy when Nisha's sister dies, leaving behind a baby.",7.5,24049,Sooraj R. Barjatya,"Madhuri Dixit, Salman Khan, Mohnish Behl",1994
https://www.imdb.com/title/tt0400764/,tt0400764,Malayalam,Vismayathumbathu,"Comedy, Horror, Mystery",Not Rated,144,A soul in search of herself.,5.3,586,Fazil,"Mohanlal, Jijoy Rajagopalan, Nayanthara",2004
https://www.imdb.com/title/tt0361818/,tt0361818,Tamil,Kushi,"Comedy, Drama, Romance",,178,"College friends Jenny and Shiva part ways due to a misunderstanding. Although they are in love and realize they cannot live without each other, their egos prevent them from uniting.",7.9,6893,S.J. Suryah,"Jyotika, Joseph Vijay, Mumtaj",2000
https://www.imdb.com/title/tt6961914/,tt6961914,Hindi,Back to Dad,Drama,,120,,9.4,21,Prabhat Kumar,"Suvahhdan Angre, Kalpana Bhattarai, Samuel Kamble",2017
https://www.imdb.com/title/tt7919680/,tt7919680,"Hindi, Malayalam",Karwaan,"Adventure, Comedy, Drama",Not Rated,114,Two friends and a chirpy teenager take a road trip from Bangalore to Kochi.,7.6,20095,Akarsh Khurana,"Irrfan Khan, Dulquer Salmaan, Mithila Palkar",2018
https://www.imdb.com/title/tt39122441/,tt39122441,"Tamil, Kannada, Malayalam, Hindi",Jockey,"Action, Adventure, Drama",,,"JOCKEY is a rural action drama rooted in Madurai culture goat fighting tradition. Shot in Madurai, the film blends fierce rivalries, raw emotions, trained animals, and authentic performances to capture the vibrant pulse of Tamil c...",,,Pragabhal,"Yuvan Krishna, Ridhaan Krishnas, Ammu Abhirami",2026
https://www.imdb.com/title/tt2404027/,tt2404027,Hindi,Arjun: The Warrior Prince,"Animation, Action, Adventure",Not Rated,96,"The story of the unsung warrior of Mahabharata, Arjuna and explores the much ignored stories of the warrior.",6.8,2242,"Pavan Buragohain, Arnab Chaudhuri, K.K. Raina","Yudhveer Bakoliya, Ashok Banthia, Ravi Khanvilkar",2012
https://www.imdb.com/title/tt6774212/,tt6774212,Hindi,Aiyaary,"Action, Crime, Drama",Not Rated,157,"After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, and his mentor, a colonel, races to hunt him down.",5.3,5522,"Feroz Khan Bollybrothers, Neeraj Pandey","Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh",2018
https://www.imdb.com/title/tt1949548/,tt1949548,Hindi,Heroine,Drama,Not Rated,149,A female superstar struggles through the trials and tribulations of being a Bollywood actress.,5,4769,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda",2012
https://www.imdb.com/title/tt28182053/,tt28182053,"Telugu, Tamil",The Constable,Action,,130,"A small-town constable's peaceful life in Mokila takes a dark turn when mysterious killings disrupt the village. Alongside his loyal partner and an intriguing admirer, he must solve a case that tests his resolve.",8.3,5071,Aryan Subhan,"Muralidhar Goud, Kalpalatha, Kashishh Rajput",2025
https://www.imdb.com/title/tt10515398/,tt10515398,Malayalam,Pallichattambi,"Action, Thriller",,,,,,Dijo Jose Antony,"Tovino Thomas, Kayadu Lohar, Vijayaraghavan",
https://www.imdb.com/title/tt32357186/,tt32357186,Gujarati,Black and White,Drama,,,"On the outer surface, it seems as if it is made only with two colors, black and white but beneath that there are multiple colors of emotions. This story of two families who are poles apart and how chess plays a pivotal role in the...",9.4,5,Pritesh Sodha,"Saunil Dharu, Ajay Parekh, Darsh Patel",2024
https://www.imdb.com/title/tt8043456/,tt8043456,Kannada,Aa Karaala Ratri,Thriller,,105,A fortune teller tells a poverty-stricken family that their fate will change overnight when a mysterious traveler visits there home to stay overnight.,7.9,1174,Dayal Padmanabhan,"Ashitha, Anupama Gowda, Swathi Gowda",2018
https://www.imdb.com/title/tt1517561/,tt1517561,Tamil,Thulladha Manamum Thullum,"Drama, Musical, Romance",,170,"Kutty is a good-hearted soul, but unfortunate incidents tend to portray his ruffian side whenever he encounters the girl he loves. A bizarre incident brings them closer and yet keeps them apart.",8.3,7181,Ezhil,"Joseph Vijay, Simran, Dhamu",1999
https://www.imdb.com/title/tt22797186/,tt22797186,Bengali,Ghasjomi (Grassland),Drama,,112,"Barna is a 24-year-old girl - open-minded, intelligent, and full of life. While conducting research in her university, she meets Ipsita, a middle-aged woman she has very little in common with. Gradually the two form a friendship t...",9.4,56,Sumantra Roy,"Sawon Chakraborty, Debashish Chatterjee, Suvosmita Mukherjee",2023
https://www.imdb.com/title/tt27262998/,tt27262998,English,Drifting in the Waters of Sundarbans,Adventure,,60,"Sundarbans located on the southern fringe of the state of West Bengal is unlike any other forest of India. This is a primordial landscape where the lay of the land changes with every tide. Spread across 10,000 square kilometers in...",9.4,39,Sabyasachi Patra,,2023
https://www.imdb.com/title/tt32477830/,tt32477830,Malayalam,Uyirin Uyire,,,,,9.2,14,Afvin Math,"Yadhu Krishna, Amrutha Vijai",2025
https://www.imdb.com/title/tt29335662/,tt29335662,Malayalam,Daayam,Drama,,81,"Amidst the patriarchal structures and cultural dogmas of Indian society, a teenage girl must navigate her way through the loss of a parent and discover her own path to adulthood in this poignant coming-of-age tale.",7.8,14,Prasanth Vijay,"Aathira Rajeev, Pradeep Kumar, K.R. Aromal",2023
https://www.imdb.com/title/tt13979126/,tt13979126,Telugu,Crrush,Comedy,,129,The plot revolves around the life of three youngsters. They dream to shift to America with a special desire.,4.7,125,Ravi Babu,"Krishna Burugula, Ankita Manoj, Parree Pande",2021
https://www.imdb.com/title/tt0042041/,tt0042041,English,White Heat,"Action, Crime, Drama",Approved,114,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,8.1,38025,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O&apos;Brien",1949
https://www.imdb.com/title/tt34915500/,tt34915500,Telugu,Pushpa: The Rampage - Part 3,Action,,,"Pushpa rises to reclaim his lost empire, facing new enemies and betrayals, as a darker power emerges threatening everything he built.",,,"Sukumar, Sushma Sunam","Allu Arjun, Rashmika Mandanna, Kumar Shantanu",
